num of ratings,avg cost (two people),online_order,table booking,restaurant type,cuisines type,area
35,800.0,Yes,No,Casual Dining,"North Indian, Chinese",Basavanagudi
66,600.0,Yes,No,Casual Dining,"North Indian, Mughlai, Biryani, Rolls",Bannerghatta Road
556,1175.7553559254256,Yes,Yes,Cafe,South Indian,Kalyan Nagar
569,1000.0,No,Yes,Bar,"Finger Food, North Indian, Continental",Koramangala 4th Block
1731,1400.0,Yes,No,Pub,"Chinese, Continental, North Indian",Malleshwaram
146,468.61655614205955,No,No,Casual Dining,"North Indian, Chinese",Brigade Road
488,400.0,Yes,No,"Takeaway, Delivery","Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",Bannerghatta Road
40,800.0,No,No,Casual Dining,"North Indian, South Indian",Bannerghatta Road
40,800.0,No,No,Casual Dining,"North Indian, South Indian",Bellandur
26,650.0,No,No,"Takeaway, Delivery","North Indian, Chinese, Continental","Byresandra,Tavarekere,Madiwala"
3242,1319.883040599786,Yes,Yes,Casual Dining,"Chettinad, Andhra, Kerala","Byresandra,Tavarekere,Madiwala"
786,900.0,No,No,"Cafe, Casual Dining","Cafe, Healthy Food, Salad, Continental, Beverages, Italian, Sandwich",Brigade Road
26,600.0,No,No,Cafe,"Cafe, Fast Food",Kalyan Nagar
1703,1300.0,Yes,No,Lounge,"Continental, Mediterranean, European",Brigade Road
40,100.0,No,No,Dessert Parlor,Ice Cream,Banashankari
263,1500.0,No,No,Lounge,"Mexican, North Indian, Continental",Brigade Road
40,321.62617489247634,Yes,No,"Takeaway, Delivery",North Indian,Electronic City
97,2853.137112973253,No,Yes,Fine Dining,"Japanese, Chinese, Thai",Brigade Road
90,250.28755200655849,Yes,No,Quick Bites,"Fast Food, Street Food",Malleshwaram
128,650.0,Yes,No,Cafe,"BBQ, Continental, Burger, Wraps, Pizza, Cafe",HSR
72,600.0,Yes,No,Quick Bites,"Burger, Fast Food, Beverages","Byresandra,Tavarekere,Madiwala"
578,1356.8698293658986,No,Yes,Casual Dining,Korean,Kalyan Nagar
40,200.0,No,No,Quick Bites,North Indian,HSR
7113,600.0,No,No,Cafe,"Cafe, American, Burger",Koramangala 4th Block
16,500.0,No,No,Casual Dining,"North Indian, Chinese, Biryani, Mangalorean",Bellandur
8,500.0,No,No,Quick Bites,"North Indian, Chinese",Electronic City
93,1000.0,No,Yes,Pub,"Continental, Chinese, Fast Food",Brigade Road
6,400.0,No,No,Cafe,Cafe,Lavelle Road
68,189.44370287209813,No,No,Quick Bites,South Indian,JP Nagar
6,200.0,Yes,No,"Takeaway, Delivery","Mithai, Desserts","Byresandra,Tavarekere,Madiwala"
323,700.0,Yes,No,Cafe,"Cafe, American, Italian, Beverages",Brigade Road
40,800.0,No,Yes,Casual Dining,"Continental, Burger, Desserts, Sandwich, Italian, Pizza, Bakery, Salad",Indiranagar
40,300.0,No,No,"Takeaway, Delivery",Healthy Food,"Byresandra,Tavarekere,Madiwala"
884,655.3486378882226,Yes,No,Casual Dining,"Cafe, Desserts, Continental",Jayanagar
471,800.0,Yes,Yes,Casual Dining,Rajasthani,Brookefield
54,400.0,Yes,No,Quick Bites,"Chinese, North Indian, Biryani, Arabian",Bannerghatta Road
23,150.0,Yes,No,Quick Bites,"Fast Food, Beverages, Ice Cream, Juices, Sandwich",Bellandur
64,200.0,No,No,Quick Bites,South Indian,Banashankari
355,703.858338035795,Yes,Yes,Casual Dining,Rajasthani,Brookefield
120,1000.0,No,No,Casual Dining,"North Indian, Italian, Chinese, Asian",Bellandur
8,200.0,No,No,Quick Bites,South Indian,Sarjapur Road
89,3000.0,No,Yes,Fine Dining,Continental,Brigade Road
40,300.0,No,No,"Takeaway, Delivery",Fast Food,Electronic City
37,300.0,Yes,No,Quick Bites,Healthy Food,Bannerghatta Road
37,826.8533756067608,No,No,Cafe,"Cafe, Continental, Desserts",Brookefield
40,600.0,Yes,No,Casual Dining,"Biryani, Hyderabadi, North Indian",HSR
178,400.0,Yes,No,Dessert Parlor,Desserts,Bannerghatta Road
19,800.0,Yes,No,Food Court,"Street Food, North Indian, Beverages",Bannerghatta Road
2765,1230.1051171512615,No,No,Cafe,"Chinese, American, Continental, Italian, North Indian","Byresandra,Tavarekere,Madiwala"
58,250.0,No,No,Quick Bites,"Bengali, North Indian, Chinese",Bannerghatta Road
40,250.0,No,No,Quick Bites,"Kerala, Fast Food, Beverages",Kalyan Nagar
48,1000.0,Yes,No,Casual Dining,"Charcoal Chicken, Chinese, North Indian, Juices, Desserts, Seafood, South Indian",Electronic City
29,400.0,No,No,Delivery,North Indian,Indiranagar
8,300.0,No,No,Quick Bites,Fast Food,Koramangala 7th Block
5,200.0,No,No,Quick Bites,"North Indian, South Indian",HSR
67,172.78730169431512,Yes,No,Quick Bites,"Turkish, Desserts","Byresandra,Tavarekere,Madiwala"
315,2836.4413020285815,No,Yes,Fine Dining,"Italian, European, Mediterranean",Malleshwaram
40,800.0,No,No,Casual Dining,North Indian,Bannerghatta Road
181,500.0,Yes,No,Bakery,"Bakery, Desserts",Whitefield
36,650.0,Yes,Yes,Casual Dining,"Chinese, North Indian, Pizza, Italian",Banashankari
40,150.0,No,No,Beverage Shop,"Beverages, Desserts",Rajajinagar
59,400.0,No,No,Casual Dining,"Mughlai, North Indian, Chinese",Rajajinagar
201,1303.4478856426986,No,Yes,"Microbrewery, Casual Dining",Modern Indian,Lavelle Road
23,400.0,No,No,Quick Bites,North Indian,HSR
588,1057.1415135321781,Yes,Yes,Casual Dining,"North Indian, Mughlai",Bellandur
4,150.0,No,No,Dessert Parlor,"Ice Cream, Desserts, Juices",Bannerghatta Road
40,400.0,No,No,Delivery,"North Indian, South Indian, Chinese",Indiranagar
435,714.346945701802,Yes,No,Casual Dining,"Chinese, Thai",Brookefield
5,200.0,No,No,Quick Bites,Fast Food,"Byresandra,Tavarekere,Madiwala"
723,2464.7017419245767,No,Yes,Fine Dining,"European, Asian",Bellandur
1099,1400.0,No,Yes,"Casual Dining, Bar","North Indian, BBQ",Kalyan Nagar
244,631.8848754937428,No,No,Casual Dining,"North Indian, Chinese",Brigade Road
40,300.0,No,No,Bakery,Bakery,Koramangala 4th Block
40,600.0,No,No,Casual Dining,"BBQ, Biryani, Charcoal Chicken, Chinese, North Indian, Kerala, Seafood, Street Food",Brigade Road
840,300.0,Yes,No,Quick Bites,"South Indian, North Indian, Chinese, Juices, Ice Cream","Byresandra,Tavarekere,Madiwala"
78,342.76696650993466,No,No,Quick Bites,South Indian,Banashankari
13,200.0,Yes,No,Quick Bites,"North Indian, Biryani",Electronic City
40,900.0,Yes,Yes,Casual Dining,"Andhra, North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
131,759.2881123046955,Yes,No,Casual Dining,Burmese,Kalyan Nagar
297,200.0,Yes,No,Quick Bites,Biryani,Kalyan Nagar
40,2100.0,No,No,Casual Dining,"European, Italian, Seafood, Continental",Old Airport Road
121,635.9967773825217,Yes,No,Cafe,Cafe,Whitefield
432,530.9787859209099,Yes,No,Cafe,"Cafe, Continental, Italian",Malleshwaram
14,200.0,No,No,Sweet Shop,"Mithai, Street Food",Banashankari
40,214.97115624015532,Yes,No,Quick Bites,"South Indian, North Indian","Byresandra,Tavarekere,Madiwala"
39,500.0,Yes,No,Delivery,"Biryani, Mughlai",Bannerghatta Road
51,241.02071984581167,Yes,No,Quick Bites,"Bakery, Desserts",Bannerghatta Road
40,200.0,No,No,Quick Bites,"Bengali, North Indian","Byresandra,Tavarekere,Madiwala"
9,300.0,No,No,Quick Bites,"North Indian, Chinese",Bellandur
40,157.07228328335424,No,No,Quick Bites,South Indian,Banashankari
40,150.0,No,No,Quick Bites,North Indian,Electronic City
646,1761.4186244319012,Yes,No,Casual Dining,"American, North Indian, Chinese, Finger Food",Bellandur
40,232.2967718822453,Yes,No,Quick Bites,"South Indian, North Indian, Street Food, Beverages",HSR
31,400.0,Yes,No,Delivery,Biryani,Brookefield
88,500.0,Yes,No,Casual Dining,North Indian,Brookefield
44,400.0,No,No,Quick Bites,"North Indian, Chinese, Fast Food",Indiranagar
33,350.0,No,No,Delivery,"Bakery, Desserts",Brigade Road
1766,1578.4187153809146,Yes,Yes,Casual Dining,"Biryani, Chinese, North Indian, Seafood",Indiranagar
40,300.0,Yes,No,Delivery,"Andhra, North Indian",Bannerghatta Road
466,400.0,Yes,No,Quick Bites,"Tibetan, Chinese, Momos","Byresandra,Tavarekere,Madiwala"
366,1000.0,No,Yes,"Cafe, Lounge","Cafe, American, Asian, North Indian",HSR
40,200.0,No,No,Quick Bites,"South Indian, Street Food",Basavanagudi
30,650.0,Yes,No,Casual Dining,"Biryani, Hyderabadi",Brookefield
217,1500.0,Yes,Yes,Casual Dining,"European, Italian, Asian",Indiranagar
13,600.0,No,No,Casual Dining,"North Indian, Chinese",Brigade Road
317,600.0,No,No,Casual Dining,"North Indian, Chinese, Biryani",Sarjapur Road
126,900.0,Yes,Yes,Casual Dining,"North Indian, Mughlai, Chinese, South Indian",Koramangala 4th Block
40,300.0,No,No,"Takeaway, Delivery","Biryani, Kebab",Brookefield
205,500.0,Yes,No,Casual Dining,"North Indian, Chinese, Fast Food",Brigade Road
135,550.0,Yes,No,Casual Dining,"Biryani, Mughlai, Chinese",Marathahalli
15,313.5403164018486,Yes,No,"Takeaway, Delivery","Biryani, Fast Food","Byresandra,Tavarekere,Madiwala"
31,400.0,No,No,Quick Bites,"South Indian, Biryani",Indiranagar
752,1337.4248540821004,No,Yes,"Pub, Casual Dining","Finger Food, Continental, North Indian, Chinese",Marathahalli
122,395.2384351940517,No,No,Quick Bites,South Indian,Lavelle Road
14,300.0,No,No,Quick Bites,"North Indian, Chinese",Whitefield
278,423.2032460573941,Yes,No,Quick Bites,"North Indian, Chinese",Bellandur
26,350.0,Yes,No,Quick Bites,"South Indian, Biryani, Chettinad, Juices",Whitefield
18,400.0,Yes,No,Quick Bites,"South Indian, North Indian, Chinese",Brookefield
61,300.0,No,No,Bakery,"Bakery, Desserts",Banashankari
559,550.0,Yes,No,Cafe,"Cafe, Italian, Fast Food, Desserts",Brookefield
40,150.0,Yes,No,"Takeaway, Delivery",Lebanese,Brookefield
39,500.0,No,No,Casual Dining,"South Indian, North Indian",Indiranagar
297,612.6002027863994,Yes,No,Casual Dining,"North Indian, Mughlai, Biryani","Byresandra,Tavarekere,Madiwala"
6,300.0,No,No,Dessert Parlor,"Ice Cream, Desserts",Indiranagar
4,450.0,Yes,No,Casual Dining,Biryani,Sarjapur Road
137,2786.1993331483313,No,Yes,Fine Dining,Chinese,Indiranagar
136,300.0,Yes,No,Quick Bites,"Biryani, Rolls",Sarjapur Road
1025,1000.0,Yes,Yes,Casual Dining,North Indian,Bannerghatta Road
40,400.0,No,No,Delivery,Continental,Koramangala 6th Block
262,3000.0,No,Yes,Fine Dining,"Italian, Salad",Lavelle Road
114,400.0,Yes,No,Quick Bites,"North Indian, Mughlai, Chinese",Whitefield
479,1059.7720811165052,Yes,Yes,"Casual Dining, Pub","Goan, Mangalorean",Bellandur
4,300.0,No,No,Quick Bites,"South Indian, Andhra, Chinese, North Indian",New BEL Road
52,100.0,Yes,No,Quick Bites,South Indian,Basavanagudi
1228,843.6171717303414,Yes,No,Quick Bites,"South Indian, Kerala, Biryani",Indiranagar
4,200.0,No,No,"Takeaway, Delivery","Biryani, South Indian",Jayanagar
40,400.0,Yes,No,Delivery,"North Indian, Fast Food, Biryani, Beverages",Indiranagar
784,800.0,Yes,Yes,Casual Dining,"Continental, Mexican, Chinese, North Indian",Basavanagudi
165,747.7423400663255,No,No,Casual Dining,South Indian,Malleshwaram
26,350.0,No,No,Dessert Parlor,Desserts,Brigade Road
40,800.0,No,No,Casual Dining,"North Indian, South Indian",Bannerghatta Road
40,200.0,No,No,Quick Bites,Fast Food,Sarjapur Road
15,200.0,No,No,Quick Bites,"Chinese, Rolls",Indiranagar
147,587.4071773305185,Yes,No,Delivery,Biryani,Brookefield
21,600.0,Yes,No,"Cafe, Dessert Parlor","Cafe, Continental, Desserts",Whitefield
283,350.0,Yes,No,Quick Bites,"Bengali, North Indian, Oriya",Bannerghatta Road
40,300.0,No,No,Quick Bites,North Eastern,Koramangala 4th Block
74,200.0,Yes,No,Beverage Shop,"Beverages, Juices","Byresandra,Tavarekere,Madiwala"
11,300.0,No,No,Quick Bites,South Indian,Brigade Road
40,200.0,No,No,Quick Bites,Fast Food,Kalyan Nagar
457,550.0,Yes,No,Casual Dining,North Indian,"Byresandra,Tavarekere,Madiwala"
32,1020.2579446058336,No,Yes,Casual Dining,"Chinese, South Indian, North Indian",Koramangala 4th Block
7,300.0,Yes,No,Quick Bites,"Chinese, South Indian, North Indian",New BEL Road
315,300.0,Yes,No,Delivery,"North Indian, Chinese",Brookefield
34,100.0,No,No,Quick Bites,South Indian,Bannerghatta Road
1985,1391.1818569539446,No,Yes,"Bar, Casual Dining","Chinese, Continental, Finger Food, Italian","Byresandra,Tavarekere,Madiwala"
15,300.0,Yes,No,Quick Bites,North Indian,Church Street
40,300.0,Yes,No,Delivery,Biryani,Marathahalli
3290,2351.304282037468,No,Yes,Fine Dining,"Continental, Italian",Brigade Road
51,400.0,Yes,No,Casual Dining,"North Indian, Chinese, South Indian, Street Food",Kalyan Nagar
48,624.825300760416,Yes,No,Casual Dining,"South Indian, Chinese, Seafood, Biryani",HSR
91,400.0,Yes,No,Quick Bites,"North Indian, Chinese, Fast Food",Banashankari
26,245.7417474998439,Yes,No,Quick Bites,"Street Food, Sandwich, Beverages",Electronic City
34,300.0,Yes,No,Quick Bites,"Chinese, Oriya, North Indian, Bengali",Kalyan Nagar
40,417.35011677061,No,No,Delivery,"North Indian, Chinese",Bannerghatta Road
103,1200.0,No,No,"Casual Dining, Bar","North Indian, South Indian, Asian, Continental",Brookefield
40,400.0,Yes,No,Quick Bites,"South Indian, Indian",Basavanagudi
40,350.0,Yes,No,Dessert Parlor,"Desserts, Ice Cream, Beverages",Kalyan Nagar
97,400.0,No,No,Casual Dining,"Chinese, North Indian, South Indian",Marathahalli
2952,1036.8093965442627,No,No,Cafe,"Cafe, American, Burger, Steak","Byresandra,Tavarekere,Madiwala"
4822,1766.4739204910845,No,Yes,"Lounge, Casual Dining","Japanese, Thai, Chinese, Korean","Byresandra,Tavarekere,Madiwala"
69,850.0,Yes,No,Casual Dining,"Mughlai, North Indian, Biryani",Brookefield
40,300.0,No,No,Delivery,"Chinese, Thai, North Indian",Indiranagar
40,270.8539086506206,Yes,No,Quick Bites,"North Indian, Street Food",Basavanagudi
152,600.0,Yes,No,Quick Bites,"Pizza, Italian","Byresandra,Tavarekere,Madiwala"
17,150.0,No,No,Quick Bites,"Chinese, South Indian",Indiranagar
81,459.1421991817138,No,No,Casual Dining,"South Indian, North Indian, Chinese, Beverages",Malleshwaram
154,300.0,Yes,No,Quick Bites,North Indian,Brookefield
3296,1435.1173547134877,Yes,Yes,Casual Dining,"Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza",Brigade Road
881,1700.0,Yes,Yes,Casual Dining,"Chinese, Momos",Basavanagudi
43,500.0,Yes,No,Quick Bites,"Fast Food, Bengali",Bannerghatta Road
42,500.0,Yes,No,"Casual Dining, Bar","Chinese, North Indian, Mughlai",JP Nagar
221,2000.0,No,Yes,"Bar, Casual Dining","Continental, Asian, Modern Indian",Old Airport Road
40,300.0,Yes,No,Quick Bites,South Indian,Electronic City
41,800.0,Yes,No,Casual Dining,"Pizza, Italian, Salad",Basavanagudi
118,643.7199015854166,No,No,Casual Dining,"South Indian, North Indian, Fast Food",Brigade Road
40,200.0,Yes,No,Quick Bites,"Biryani, North Indian",HSR
159,400.0,Yes,No,Cafe,"Cafe, Continental, Thai, Chinese",Electronic City
483,1456.96534676278,No,No,Lounge,"Thai, Chinese, Indonesian, Asian, Momos",Brigade Road
160,600.0,No,No,Cafe,"Cafe, Continental",Bannerghatta Road
138,236.32553516758102,Yes,No,Quick Bites,Chettinad,Electronic City
8,350.0,Yes,No,Quick Bites,"Bengali, North Indian","Byresandra,Tavarekere,Madiwala"
193,500.0,Yes,No,Delivery,"Thai, Chinese","Byresandra,Tavarekere,Madiwala"
16,400.0,No,No,Delivery,Desserts,New BEL Road
83,200.0,Yes,No,Quick Bites,"Gujarati, Fast Food",Brookefield
877,1782.2241002783915,Yes,Yes,Casual Dining,"North Indian, Chinese, Seafood",Brigade Road
689,570.7620585740535,No,No,Cafe,Cafe,Indiranagar
7,300.0,Yes,No,Delivery,"North Indian, South Indian, Maharashtrian",Koramangala 4th Block
6,500.0,No,No,Casual Dining,Continental,Banashankari
103,400.0,Yes,No,Quick Bites,"North Indian, Chinese, Fast Food",Sarjapur Road
27,444.8312032193538,Yes,No,Quick Bites,"North Indian, Mughlai, Chinese",Whitefield
1105,795.9714481222002,Yes,No,Cafe,"Cafe, Continental, Italian, Burger, Beverages",Brigade Road
500,800.0,Yes,No,Cafe,"Cafe, Continental, Italian, Salad",Bellandur
40,432.9379269302076,Yes,No,Quick Bites,North Indian,Bannerghatta Road
40,322.9102402626108,No,No,Quick Bites,"Biryani, Kebab",Brookefield
19,1300.0,No,No,Lounge,"North Indian, Continental, Chinese",Brookefield
113,200.0,Yes,No,Delivery,"Andhra, North Indian",Marathahalli
40,208.49405030253678,Yes,No,Quick Bites,Fast Food,Kalyan Nagar
241,1500.0,No,Yes,"Bar, Casual Dining","American, Finger Food",MG Road
90,400.0,Yes,No,Quick Bites,"North Indian, Chinese",Marathahalli
39,200.0,No,No,Quick Bites,Rolls,Church Street
42,673.9469233238727,No,No,Casual Dining,"Chinese, North Indian",Bannerghatta Road
40,200.0,No,No,Quick Bites,North Indian,Brookefield
5,200.0,Yes,No,Quick Bites,South Indian,Malleshwaram
413,1109.0073585225841,Yes,Yes,Casual Dining,"North Indian, Chinese",Banashankari
13,700.0,No,No,"Casual Dining, Bar","North Indian, Chinese, Seafood, Biryani",Lavelle Road
21,800.0,No,Yes,Casual Dining,"North Indian, Asian, Continental",Basavanagudi
40,200.0,No,No,Quick Bites,"South Indian, Beverages",Indiranagar
40,800.0,No,No,Casual Dining,"Andhra, Biryani, Chinese, North Indian",Bannerghatta Road
449,569.278358297873,No,No,Casual Dining,"Continental, Burger, Pizza, Steak","Byresandra,Tavarekere,Madiwala"
51,300.0,Yes,No,Quick Bites,"North Indian, South Indian, Chinese",Malleshwaram
260,551.696030244111,Yes,No,Quick Bites,North Indian,"Byresandra,Tavarekere,Madiwala"
16,550.0,Yes,No,Casual Dining,"North Indian, Chinese, Bengali",Sarjapur Road
492,1101.4947134800432,Yes,Yes,Casual Dining,"American, Asian, Continental, North Indian, South Indian, Chinese",Bellandur
122,600.0,Yes,No,Cafe,"Cafe, Beverages",Indiranagar
1458,800.0,Yes,Yes,Casual Dining,Vietnamese,"Byresandra,Tavarekere,Madiwala"
53,300.0,Yes,No,Quick Bites,Fast Food,Marathahalli
1778,200.0,Yes,No,Quick Bites,"North Indian, South Indian, Fast Food, Juices",Banashankari
60,750.0,No,No,Casual Dining,"Andhra, North Indian, Chinese, Mangalorean",Malleshwaram
112,800.0,No,Yes,Cafe,"Cafe, Continental","Byresandra,Tavarekere,Madiwala"
46,600.0,Yes,No,Cafe,"Cafe, Sandwich, Burger",Bannerghatta Road
57,330.525905254879,No,No,"Takeaway, Delivery",Fast Food,Whitefield
229,350.0,Yes,No,Quick Bites,North Indian,Old Airport Road
40,500.0,Yes,No,Quick Bites,"North Indian, Mughlai, South Indian",Marathahalli
140,400.0,No,No,Casual Dining,"South Indian, North Indian, Chinese",Brookefield
267,1500.0,No,Yes,Casual Dining,Mediterranean,Whitefield
57,450.0,Yes,No,Quick Bites,"Street Food, South Indian",Koramangala 4th Block
218,658.3369219982964,Yes,Yes,Casual Dining,"Cafe, Chinese, Continental",Bannerghatta Road
57,230.7926352975631,No,No,Quick Bites,South Indian,Banashankari
2888,1362.7933434754705,No,Yes,"Bar, Casual Dining","Vietnamese, Salad",Indiranagar
773,1000.0,No,Yes,"Casual Dining, Microbrewery","Mughlai, North Indian",Indiranagar
31,400.0,Yes,No,Quick Bites,"Fast Food, Rolls",Malleshwaram
2589,1200.0,Yes,Yes,Bar,"Continental, Finger Food, North Indian, Chinese",Koramangala 7th Block
368,3304.1287747188608,No,Yes,"Fine Dining, Bar",Finger Food,Lavelle Road
14,200.0,No,No,"Quick Bites, Food Court","Fast Food, Rolls",Bellandur
130,600.0,No,No,Quick Bites,"North Indian, Andhra, Chinese",Indiranagar
40,434.3723597340292,No,No,Delivery,North Indian,Bellandur
40,608.8679745661193,Yes,No,Casual Dining,"Arabian, North Indian, Seafood, Chinese, Biryani",Bellandur
40,400.0,Yes,No,Food Court,North Indian,Brookefield
52,200.0,Yes,No,Quick Bites,"Rolls, Fast Food",Sarjapur Road
13,656.5175157593915,Yes,No,Casual Dining,"Healthy Food, Salad, Mexican, Beverages",Brookefield
4,300.0,Yes,No,Quick Bites,"Chinese, North Indian, Biryani",Kalyan Nagar
51,300.0,Yes,No,"Takeaway, Delivery","Arabian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
40,300.0,Yes,No,Quick Bites,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
40,300.0,No,No,Bakery,Bakery,Electronic City
661,1463.1418921218376,Yes,Yes,Casual Dining,"Continental, Italian, Mediterranean, Salad",Whitefield
40,380.7742093146867,No,No,Delivery,"North Indian, Chinese",Bannerghatta Road
40,300.0,Yes,No,Quick Bites,"South Indian, Chinese",Banashankari
40,300.0,Yes,No,Quick Bites,"North Indian, Chinese",Brookefield
138,389.4519746245164,Yes,No,Delivery,North Indian,Bellandur
4,350.0,No,No,Casual Dining,"Chinese, Thai, Nepalese, Tibetan",Kalyan Nagar
38,400.0,No,No,Dessert Parlor,"Ice Cream, Beverages, Desserts","Byresandra,Tavarekere,Madiwala"
826,1191.4232187925193,Yes,Yes,Casual Dining,"Asian, Thai",Basavanagudi
31,250.0,Yes,No,Delivery,"North Indian, Gujarati, Rajasthani",Brookefield
1083,1175.310026837929,Yes,Yes,"Casual Dining, Bar","North Indian, Lucknowi",Brigade Road
8,200.0,No,No,Quick Bites,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
26,550.0,Yes,No,Casual Dining,"North Indian, Chinese",Kammanahalli
359,452.5311236134537,Yes,No,Casual Dining,"North Indian, Chinese",Bellandur
40,300.0,Yes,No,Quick Bites,"Biryani, Fast Food",JP Nagar
12,300.0,Yes,No,Food Truck,"Fast Food, Desserts",Bannerghatta Road
10,600.0,Yes,No,Casual Dining,"South Indian, North Indian, Chinese",Rajajinagar
789,500.0,Yes,No,Delivery,"Cafe, American, Italian, Continental, Chinese",Bannerghatta Road
13,400.0,Yes,No,Delivery,"North Indian, Chinese",Bannerghatta Road
141,707.2983465793703,Yes,No,Cafe,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",Indiranagar
11,400.0,Yes,No,Bakery,Bakery,HSR
41,800.0,Yes,Yes,Casual Dining,"Hyderabadi, Biryani, North Indian","Byresandra,Tavarekere,Madiwala"
35,200.0,Yes,No,Quick Bites,"North Indian, Chinese",Bannerghatta Road
40,200.0,No,No,Quick Bites,North Indian,HSR
203,521.6639000015543,No,No,Cafe,"Cafe, Beverages",Indiranagar
69,200.0,Yes,No,Quick Bites,South Indian,Brookefield
3564,1000.0,No,Yes,Casual Dining,"North Indian, Mughlai, Italian",Indiranagar
18,200.0,No,No,Quick Bites,"Biryani, South Indian, North Indian",New BEL Road
100,298.7800959578326,No,No,Quick Bites,"South Indian, Chinese, Street Food, Juices",Brigade Road
35,600.0,Yes,No,Delivery,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala"
41,150.0,Yes,No,Quick Bites,North Indian,Bannerghatta Road
17,400.0,Yes,No,Quick Bites,"Biryani, Kebab","Byresandra,Tavarekere,Madiwala"
13,150.0,Yes,No,Quick Bites,Arabian,Bellandur
119,500.0,Yes,No,"Takeaway, Delivery","Biryani, Kebab, Continental",Frazer Town
31,496.58323197183324,No,No,"Bakery, Quick Bites","Bakery, Fast Food",Old Airport Road
191,281.58263931028245,Yes,No,Quick Bites,North Indian,Banashankari
349,1200.0,Yes,Yes,Casual Dining,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",Basavanagudi
222,800.0,No,No,Casual Dining,"North Indian, Chinese",Malleshwaram
112,250.0,Yes,No,Quick Bites,Biryani,"Byresandra,Tavarekere,Madiwala"
121,600.0,Yes,No,Casual Dining,"North Indian, Chinese",Brookefield
47,313.85543139786756,Yes,No,Quick Bites,"North Indian, Chinese",Bellandur
276,300.0,Yes,No,Dessert Parlor,"Desserts, Ice Cream",Brookefield
349,1200.0,Yes,Yes,Casual Dining,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",Banashankari
2490,1600.0,Yes,No,Casual Dining,"European, Italian, Desserts, Salad, Juices, Steak",Brigade Road
40,400.0,No,No,Quick Bites,"Biryani, Fast Food",Banashankari
39,200.0,No,No,Quick Bites,North Indian,New BEL Road
40,200.0,No,No,Quick Bites,North Indian,"Byresandra,Tavarekere,Madiwala"
35,683.3635261744811,Yes,No,Delivery,"Biryani, North Indian, Chinese",Jayanagar
70,300.0,Yes,No,"Takeaway, Delivery",Andhra,"Byresandra,Tavarekere,Madiwala"
68,300.0,Yes,No,Quick Bites,"North Indian, Chinese",Brookefield
26,200.0,No,No,Quick Bites,South Indian,"Byresandra,Tavarekere,Madiwala"
10,300.0,Yes,No,Quick Bites,"North Indian, Chinese",Bellandur
40,215.68127053168058,Yes,No,Quick Bites,"North Indian, Chinese",Brookefield
283,400.0,Yes,No,Quick Bites,"Biryani, North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
697,1019.113302159784,No,Yes,"Bar, Casual Dining","North Indian, Continental, Fast Food, Beverages, Pizza",HSR
7,200.0,Yes,No,Quick Bites,Street Food,Electronic City
40,180.39532115477135,Yes,No,Beverage Shop,"Beverages, Juices",Bannerghatta Road
274,3000.0,No,Yes,Fine Dining,"Italian, North Indian",Lavelle Road
472,1324.9732762757696,Yes,Yes,"Casual Dining, Bar","Italian, Pizza, Salad","Byresandra,Tavarekere,Madiwala"
120,241.25379799870458,Yes,No,Quick Bites,"South Indian, North Indian, Street Food","Byresandra,Tavarekere,Madiwala"
265,311.55212724032407,Yes,No,Dessert Parlor,"Desserts, Ice Cream",Brookefield
40,239.06584554618422,No,No,Quick Bites,South Indian,Bannerghatta Road
8,1600.0,No,No,Lounge,Finger Food,"Byresandra,Tavarekere,Madiwala"
46,350.0,No,No,Quick Bites,"North Indian, Chinese, Seafood",Rajajinagar
41,537.1496099916433,Yes,No,Quick Bites,North Indian,Whitefield
40,200.0,Yes,No,Quick Bites,"Street Food, Mithai",Bellandur
2616,1300.0,Yes,Yes,Casual Dining,"Chettinad, Andhra, Kerala","Byresandra,Tavarekere,Madiwala"
195,500.0,No,No,Cafe,Cafe,Indiranagar
40,300.0,No,No,Quick Bites,South Indian,Brookefield
462,1138.2784100403042,No,Yes,"Pub, Casual Dining","Continental, Mexican, Burger, Desserts, Italian, Pizza, North Indian, Chinese",Brigade Road
453,768.1812859233313,No,No,Quick Bites,"Chinese, North Indian",HSR
321,384.6184261822434,No,No,Casual Dining,"North Indian, Chinese",Brookefield
40,300.0,No,No,Quick Bites,Chinese,"Byresandra,Tavarekere,Madiwala"
40,250.0,No,No,Quick Bites,"Kerala, Fast Food, Beverages",Kalyan Nagar
160,750.0,No,No,Cafe,"Cafe, Salad, Desserts, Pizza",Brigade Road
73,450.0,Yes,No,Casual Dining,"North Indian, Chinese, Seafood, South Indian",Malleshwaram
405,800.0,Yes,Yes,"Casual Dining, Bar","North Indian, Chinese, Seafood",Rajajinagar
